# r: reconstructed, t: true linear density, i: input catalog.
# Columns:
# k Prr Ptt Prt Pii Pit
3.270833513749468735e-01 3.907552289100627263e+02 4.073101905647222907e+02 3.883039739716476788e+02 5.560503718336044585e+02 1.561580438066465319e+02
3.396510088875044908e-01 3.633714427531435831e+02 3.822815188616809792e+02 3.622724465034193599e+02 5.190590116920361652e+02 1.275982241341275056e+02
3.522024880844147887e-01 3.328618249347520646e+02 3.517384059425818350e+02 3.316353643846617274e+02 4.900124472997389944e+02 1.131950035133507413e+02
3.647994661500668645e-01 3.161984123222748622e+02 3.310403080568720497e+02 3.130325118483412439e+02 4.776905213270142099e+02 9.791125592417061796e+01
3.773011588304836517e-01 2.835714190272581732e+02 3.023924371993586533e+02 2.822981248886513299e+02 4.565072153928380772e+02 8.577666800285052773e+01
3.898160467720220290e-01 2.682807096986662145e+02 2.882551457269883031e+02 2.674516919150337912e+02 4.277760991272847377e+02 7.296369689609748832e+01
4.022847961267365102e-01 2.458435863874345841e+02 2.665342297318737224e+02 2.451570085673488961e+02 4.151064175789306887e+02 6.169828355544979104e+01
4.147905422248558405e-01 2.316046587451094183e+02 2.518102448920446363e+02 2.307364874655847018e+02 3.878367627880017494e+02 5.026894200115925315e+01
4.274775824549076342e-01 2.105285854683475577e+02 2.301511623966381705e+02 2.094409482174325490e+02 3.801957774162938790e+02 4.546740714382539750e+01
4.400658885577767854e-01 2.027671284717651474e+02 2.220968474397788555e+02 2.015862182440436925e+02 3.646945175727260562e+02 4.199793092668158323e+01
4.525857830454776409e-01 1.898986872493010765e+02 2.104298498845265613e+02 1.888798012641302932e+02 3.479477026862768980e+02 3.098641667679591549e+01
4.651967131363229369e-01 1.770725778244141111e+02 1.990778972834324350e+02 1.770494491080797275e+02 3.385304010726360957e+02 2.575594613501224117e+01
4.777779151657697287e-01 1.629742828205409069e+02 1.835469725172451660e+02 1.618501313916566176e+02 3.295524745428665483e+02 2.367078349118580860e+01
4.902434409968058349e-01 1.539604400000000055e+02 1.755010000000000048e+02 1.534898000000000025e+02 3.141891466666666588e+02 1.749092166666666515e+01
5.027471460218637667e-01 1.475905036077888610e+02 1.680575392903034526e+02 1.463071439161806779e+02 2.990990165068695887e+02 1.623199657754274838e+01
5.154137409039032391e-01 1.390543589743589621e+02 1.605740792540792654e+02 1.383292307692307759e+02 2.937050815850815866e+02 1.506292395104895121e+01
5.280405180331148030e-01 1.316032123668153986e+02 1.535497905473089872e+02 1.309170499043802920e+02 2.846719788725981175e+02 1.033819423891266709e+01
5.405792498434101034e-01 1.240571882192481468e+02 1.465941842127695907e+02 1.235687814338078709e+02 2.754654334668826436e+02 9.837235476515216348e+00
5.531226886547442323e-01 1.154996256551035714e+02 1.365465747441976703e+02 1.143276661675401442e+02 2.688077323018051743e+02 6.661991254887280611e+00
5.657393635444961655e-01 1.096487705233947452e+02 1.292948720419332460e+02 1.079980825560780033e+02 2.623822939952208344e+02 7.177311772527557032e+00
5.782969097227933508e-01 1.037113772111187728e+02 1.238379278658396601e+02 1.019248315338081170e+02 2.520709089516808490e+02 5.180647685504250255e+00
5.907042650346763235e-01 9.665057623791172148e+01 1.173888333454519000e+02 9.499541009234349076e+01 2.447364393223296588e+02 4.669612709499745051e+00
6.032146829326080484e-01 9.239223663386775343e+01 1.133210882130324109e+02 9.097670818138031734e+01 2.398882543177595892e+02 4.290840780465148718e+00
6.158760761314229226e-01 8.670483579638751337e+01 1.074896715927750392e+02 8.514470443349753737e+01 2.314358620689655197e+02 2.981731578407225136e+00
6.285516376584293630e-01 8.378877354924074439e+01 1.044544530905425006e+02 8.225874236027975428e+01 2.278883025644256861e+02 2.670462488579799398e+00
6.410921723380569315e-01 7.896300775193797961e+01 9.883987596899224570e+01 7.722227906976743839e+01 2.217765736434108419e+02 2.131189680232558281e+00
6.536251714803876789e-01 7.342098540145985908e+01 9.293270802919708728e+01 7.151445255474452267e+01 2.144047153284671481e+02 7.203022924270072735e-01
6.662471581885285321e-01 7.220671151351047001e+01 9.285008743724262104e+01 7.078365628701979517e+01 2.094921870592880850e+02 1.804930772973430297e+00
6.788088574284889543e-01 6.740978207169128211e+01 8.695869243014766425e+01 6.531422572322556164e+01 2.071079348959762854e+02 8.189375823406708221e-01
6.912778451984193939e-01 6.504358181625178759e+01 8.511283238681598107e+01 6.352958309006952931e+01 2.005319781327955013e+02 1.247559137983652588e+00
7.037611348899489583e-01 6.150062986715528979e+01 8.094847177686160933e+01 5.963673843334860436e+01 1.947899552094467310e+02 1.178589308323153784e+00
7.164059511675825442e-01 5.870478684883889997e+01 7.768656761454160176e+01 5.670831724038043831e+01 1.934518056293149471e+02 4.967140201805629873e-01
7.290231078637852136e-01 5.570486853991346976e+01 7.433875338753387041e+01 5.368484643179765214e+01 1.876238054485808107e+02 6.560732873639043561e-01
7.415276440923913581e-01 5.327491377328121303e+01 7.183968153598529227e+01 5.115160381696941982e+01 1.850660036790066840e+02 -1.146021692307139656e-01
7.541076813890378316e-01 5.087397706883725590e+01 6.965298564614241172e+01 4.890179860837600501e+01 1.810852588508161602e+02 4.980984574663034903e-01
7.667171699890229508e-01 4.904477419908221947e+01 6.703480829437749833e+01 4.684279173993224532e+01 1.757991594115881355e+02 -3.121465997180169483e-01
7.793022222120591369e-01 4.620302137825925826e+01 6.505202454998558892e+01 4.435323042385797265e+01 1.703890925567409624e+02 -3.481309952578572342e-01
7.917534700707470341e-01 4.432535809289952766e+01 6.176490178023326649e+01 4.194449048496009880e+01 1.697977593615715080e+02 -1.527031018198792556e-01
8.042247101329834669e-01 4.231555747371687914e+01 6.001066357605616730e+01 4.012602319897582959e+01 1.665795476587655628e+02 6.400476320945027719e-01
8.169069412918711359e-01 4.031907006840451402e+01 5.846339896468847996e+01 3.845898271399519075e+01 1.646818820484377852e+02 -4.567888877334073117e-01
8.295386860910297644e-01 3.819018807305666741e+01 5.574002559192841488e+01 3.618771403321427016e+01 1.598590786905770074e+02 2.305543524977445857e-01
8.421082558394776818e-01 3.674801221226498171e+01 5.414248813916710645e+01 3.461789448251625601e+01 1.573591811632402084e+02 6.305700183815454718e-02
8.546571057087767320e-01 3.518375969868828435e+01 5.242109703907310347e+01 3.313240014265335276e+01 1.532747468772833201e+02 -2.555275455794857598e-01
8.672421743714600062e-01 3.300376076270906367e+01 5.023427242437237794e+01 3.097939003067990527e+01 1.506277504700953216e+02 2.720580124451555185e-02
8.798357802984142495e-01 3.188061219488285758e+01 4.888568931150540919e+01 2.990081242035094888e+01 1.476272914420154905e+02 4.267933609960625208e-02
8.922963230739829887e-01 3.039129175323637710e+01 4.756278568003835971e+01 2.854566885088700801e+01 1.440814927281444966e+02 5.293034301582227874e-01
9.048371182735083229e-01 2.892958314316141966e+01 4.574695724935341445e+01 2.709962155788833371e+01 1.427928647497337522e+02 -3.021445449186064280e-01
9.174303848009155438e-01 2.771251274630357386e+01 4.457665027142128622e+01 2.583674047026362430e+01 1.397286536904297805e+02 -3.290543789176139100e-01
9.300506975052911240e-01 2.664794362822462759e+01 4.343055396137622637e+01 2.490775739619501294e+01 1.370727280553244043e+02 1.155200802704166585e-01
9.426276052811525252e-01 2.539468197526633020e+01 4.172827592608459923e+01 2.355449761517150975e+01 1.347832519349955760e+02 1.000196299856481869e-01
9.551602645742062192e-01 2.426999250817914344e+01 4.085660723613669632e+01 2.259181604486844819e+01 1.325097187474225393e+02 4.255405527022104728e-01
9.677618356735139260e-01 2.297716426378320875e+01 3.933134427980242975e+01 2.126557869443331938e+01 1.318525964490722231e+02 -7.596133589474035608e-02
9.802998330311560871e-01 2.188253248725601807e+01 3.788446554501994257e+01 2.023404855920340140e+01 1.273379202873669556e+02 -2.562457595711946645e-01
9.927986287560246481e-01 2.110961621883691919e+01 3.727482839572328999e+01 1.950080379698384903e+01 1.263182653295567661e+02 -2.693500119213937949e-01
1.005331822259715402e+00 2.024982350368611606e+01 3.602420967137323515e+01 1.852944833187554607e+01 1.241813320004998076e+02 -2.363706871641884089e-01
1.017928682685577568e+00 1.941205701680571494e+01 3.530345550934051602e+01 1.784322632414108156e+01 1.214580818887793612e+02 -9.400641427794341476e-02
1.030549463088559881e+00 1.826463840266458760e+01 3.406498181088039701e+01 1.675419885195946179e+01 1.200571303711052735e+02 -1.612233451702867748e-01
1.043132341734771762e+00 1.749307738081482810e+01 3.325030908418644771e+01 1.606554029071245537e+01 1.168285420470039071e+02 -1.225773698921671789e-01
1.055657279375913360e+00 1.666164732112465074e+01 3.206453808972700159e+01 1.517340356729525475e+01 1.155559715887171706e+02 -2.475069257111330301e-01
1.068232064130550052e+00 1.605680291245165847e+01 3.166108337521029270e+01 1.473720067075968387e+01 1.131393956608184510e+02 7.235630626078785876e-02
1.080860857380532281e+00 1.542106873671326284e+01 3.068909843458094144e+01 1.409209452640168259e+01 1.116725396723141870e+02 1.509553846677779143e-01
1.093395375691147864e+00 1.467688906412074878e+01 2.976628156819577242e+01 1.333364116513897457e+01 1.093618620207879104e+02 1.280341445850819923e-02
1.105919074631811716e+00 1.393551591381047494e+01 2.877189690976006275e+01 1.262464404671340823e+01 1.081900816251002340e+02 2.526933022313259530e-02
1.118488029549241203e+00 1.323316907412980292e+01 2.806991674189989183e+01 1.195826938509379112e+01 1.059567358812318218e+02 3.837763473016351234e-01
1.131109169103769574e+00 1.272014816258894676e+01 2.745599473632907817e+01 1.148453309289404523e+01 1.052175260746661536e+02 -2.477232262525587425e-01
1.143709024866502499e+00 1.203525224053194620e+01 2.662002505541100561e+01 1.082615640358485187e+01 1.032908933217693033e+02 9.583925274946998585e-02
1.156245280464029079e+00 1.156295605852594299e+01 2.603617437421247516e+01 1.037526916856299231e+01 1.017947548567882166e+02 -2.042349713729242344e-01
1.168810962005284670e+00 1.105339786818491632e+01 2.545797173548541537e+01 9.927904989589666940e+00 9.995011331601348559e+01 3.604679446098888601e-02
1.181338535766735198e+00 1.057763194732944356e+01 2.460527337752650467e+01 9.436452933367050377e+00 9.750731535502049496e+01 6.336271428881878887e-02
1.193832022261898551e+00 1.013875064546571636e+01 2.419471252292516539e+01 9.030429813393636707e+00 9.682100568009829544e+01 2.886703517565570865e-01
1.206341711659521643e+00 9.617790577271550845e+00 2.357536888428682431e+01 8.537088510656657192e+00 9.581846578652169910e+01 -1.087496595640262409e-01
1.218937622447507030e+00 9.205674393344896345e+00 2.295350942188841614e+01 8.188583538218008329e+00 9.378899685095059624e+01 2.649849217684354108e-01
1.231623684652875195e+00 8.810184958053278947e+00 2.257654663199725320e+01 7.847211830937546040e+00 9.186686617933244747e+01 5.573598435021422798e-02
1.244204536342769174e+00 8.388371283479401086e+00 2.193068023589155757e+01 7.353469776394463864e+00 9.119275943975756604e+01 -5.990123512879842738e-02
