# r: reconstructed, t: true linear density, i: input catalog.
# Columns:
# k Prr Ptt Prt Pii Pit
2.412769369181535506e+00 1.051486525223167101e+00 4.472339216075801538e+00 2.024334736539798729e-01 2.069372886552970670e+01 -1.731344224513394273e-02
2.425315432519591585e+00 1.048123410384205201e+00 4.404782816734960527e+00 1.956138646610746379e-01 2.032299922499539591e+01 1.892257258108110893e-02
2.437900122028386907e+00 1.046141943790557916e+00 4.350856585491158945e+00 1.928350713672100369e-01 1.993441249173576324e+01 -1.433556900000960586e-03
2.450481568052802483e+00 1.045834459728491650e+00 4.294223845628329705e+00 1.865954948646858791e-01 1.975457578386625102e+01 -8.463678270730648490e-03
2.463064488743428093e+00 1.046408123052798844e+00 4.241360616501950176e+00 1.792728815482699800e-01 1.934220810035694527e+01 -1.595438104954144051e-02
2.475646233087212433e+00 1.049178982464425980e+00 4.208062976119586907e+00 1.803135298813166310e-01 1.911751504075891717e+01 4.677809082001172132e-04
2.488209261047078957e+00 1.043161594339507836e+00 4.143300717190268045e+00 1.751613355033508068e-01 1.868403288777533078e+01 -1.154409616960495703e-02
2.500771832473523304e+00 1.044321088426465094e+00 4.098080731863587900e+00 1.698848290525102611e-01 1.845848662763286541e+01 -8.250458438681187306e-03
2.513305501484202509e+00 1.046091728755316863e+00 4.045839213317865557e+00 1.774353538056455681e-01 1.808694204926430515e+01 1.224663764078327312e-02
2.525870183863226703e+00 1.047438045901974535e+00 3.997563964669008207e+00 1.663135007383563790e-01 1.785356947628804392e+01 4.531293339879159145e-03
2.538466955022124161e+00 1.041810081634716889e+00 3.938210511782390899e+00 1.679400214295992955e-01 1.752944916984610657e+01 3.281783020567165254e-02
2.551029233877546432e+00 1.048581781160032422e+00 3.903399007668194809e+00 1.682725420317034704e-01 1.722851917436133817e+01 -1.110813687075953501e-02
2.563573744423298439e+00 1.046522975419152512e+00 3.850640401299650684e+00 1.578267705395310361e-01 1.702400296975518756e+01 8.710023092680950485e-03
2.576158924096744851e+00 1.046830303133091444e+00 3.793206735788398731e+00 1.540695407870982803e-01 1.671833459591676885e+01 -2.578953367947199767e-03
2.588722299274238026e+00 1.049415423683406345e+00 3.761654736794442844e+00 1.506693101678734936e-01 1.641840457925975727e+01 1.732136284424158970e-02
2.601255852008645508e+00 1.049297568280761039e+00 3.703077505483615806e+00 1.524826381156773880e-01 1.615301237014686109e+01 -2.723680850680719901e-03
2.613829287457710926e+00 1.051720521750316939e+00 3.670283296271111606e+00 1.491595241486409484e-01 1.586714020546560633e+01 3.580126887617619044e-03
2.626428738273145935e+00 1.049951483925052553e+00 3.639083724365185901e+00 1.479743121105558668e-01 1.564155715960269077e+01 7.894276029914730399e-04
2.639012357326859792e+00 1.052305061355784277e+00 3.572728446050593920e+00 1.429863131834608336e-01 1.537983725102981758e+01 1.852416981169965893e-02
2.651568665146333714e+00 1.054579711845400336e+00 3.534496687816395255e+00 1.393839807601362779e-01 1.509181322795490132e+01 1.021543840767646450e-03
2.664114527126237419e+00 1.056853427355786801e+00 3.504154223039397831e+00 1.372037636215649448e-01 1.485974924983969281e+01 2.050317269249870514e-03
2.676681099150055587e+00 1.060097148260980893e+00 3.450619769883644494e+00 1.376501659088439078e-01 1.466364413999095540e+01 1.736633431090806728e-03
2.689267670960133749e+00 1.060776693852923724e+00 3.437013664215049058e+00 1.357553028805642548e-01 1.440350699248563515e+01 5.688525410773854867e-03
2.701814968746270473e+00 1.059361780870720082e+00 3.370176260821743597e+00 1.313885657666273576e-01 1.414856442201599940e+01 -3.792273178440734929e-03
2.714350974326155352e+00 1.063342523725126609e+00 3.336961894663511341e+00 1.325595027712040685e-01 1.389569993819002569e+01 -1.017974438635886256e-02
2.726934283389723657e+00 1.065000437382032983e+00 3.305604083465949916e+00 1.239934430545415467e-01 1.368617586795100038e+01 -2.972781721342224528e-03
2.739511373708950259e+00 1.069230575388492088e+00 3.255343973120537360e+00 1.298491442671146634e-01 1.347327341453170924e+01 4.660986799795254105e-03
2.752064373368643402e+00 1.067572696146184441e+00 3.227985861830090286e+00 1.214973858638188076e-01 1.325352998498513379e+01 -6.206666113293873854e-03
2.764627678881351081e+00 1.075216461798341072e+00 3.192626304368585188e+00 1.224720269739636713e-01 1.307224448534859462e+01 1.072392424320691047e-02
2.777220117250382536e+00 1.077168724980146264e+00 3.158166804427805285e+00 1.202647394288585275e-01 1.281761478744266647e+01 1.567169064318244334e-02
2.789790998696503710e+00 1.074129792242914050e+00 3.127130831514742582e+00 1.211220852559592026e-01 1.261904607492485120e+01 -3.937431289854291527e-03
2.802332480643674906e+00 1.082748128839560398e+00 3.088330297432877014e+00 1.112730588711252355e-01 1.243385311790711789e+01 -8.462985451037302251e-03
2.814868865729112546e+00 1.081372340628791395e+00 3.048262154054854456e+00 1.121363341716263701e-01 1.225440561600606237e+01 6.322611371742558294e-03
2.827445866387796602e+00 1.086723893902191040e+00 3.016762327770913465e+00 1.062316603392189640e-01 1.204031372671681588e+01 -6.067028741584038452e-03
2.840054951792685856e+00 1.087823545696892769e+00 2.979874921067448224e+00 1.092947794476743367e-01 1.186567312747101610e+01 -4.263320387592852909e-03
2.852614299579577128e+00 1.094657157254007140e+00 2.957926905726855793e+00 1.071529920321870610e-01 1.165825869152628513e+01 5.815291481715015526e-04
2.865168971825226674e+00 1.091787842966227551e+00 2.920446946395506949e+00 1.050615493351084173e-01 1.147623911613031567e+01 1.033762142735543052e-02
2.877753964209385895e+00 1.095839683478976756e+00 2.892507862325311319e+00 1.041237385470362292e-01 1.128510653110272344e+01 7.777940636889970130e-03
2.890335316623195983e+00 1.099929417313878499e+00 2.853190457777524003e+00 1.019978586345212379e-01 1.107591108650319178e+01 -7.118442943922403780e-03
2.902869162637184974e+00 1.101842714561884540e+00 2.832609322783197658e+00 1.012792882404951328e-01 1.096764600098907394e+01 1.221281783173357866e-02
2.915428292059371262e+00 1.107153783904782474e+00 2.796595973102967037e+00 1.029190686696100643e-01 1.081520660232035524e+01 -1.854662658874592363e-02
2.928027405839642938e+00 1.106509768983568565e+00 2.757865939577162973e+00 9.676229856369063242e-02 1.065767179027481149e+01 2.427832869175704060e-03
2.940622750486535431e+00 1.108953790156212538e+00 2.740644503051047565e+00 9.138434523456465119e-02 1.047160023031141307e+01 2.184321444029589058e-03
2.953170336541930396e+00 1.112172833509051717e+00 2.703762478180429252e+00 9.272714522503565371e-02 1.029395427256964091e+01 9.095391085398387560e-03
2.965695241717309472e+00 1.119010014611330206e+00 2.681111288679358662e+00 9.080699395249321182e-02 1.016462146096177932e+01 2.893333564496572961e-04
2.978268515696059104e+00 1.115987629346627763e+00 2.648424103891098280e+00 8.796928562293279685e-02 9.972118379620837914e+00 9.502015040486805689e-03
2.990820180302024678e+00 1.123815541726166822e+00 2.623400008731386013e+00 8.845223487393004402e-02 9.851125644643857981e+00 -5.543596315614780431e-03
3.003377609301782769e+00 1.125057879865732691e+00 2.601317401364365622e+00 8.687866159676123357e-02 9.698526201328768082e+00 -1.513235508285163886e-03
3.015946450254916478e+00 1.128750778816199229e+00 2.570798026998961650e+00 8.834369591554171175e-02 9.596890273451020192e+00 -5.863913362106265223e-03
3.028511172577768917e+00 1.132315604024552114e+00 2.550221459720304562e+00 8.912730067770775755e-02 9.404855025905320076e+00 4.726784576488189150e-03
3.041097310553618094e+00 1.134675660133452446e+00 2.515949660665741661e+00 8.376818031834143419e-02 9.269958801915155533e+00 -6.519130228464614348e-04
3.053657530620359495e+00 1.138997878250447515e+00 2.493722314002737139e+00 8.286439753684043952e-02 9.136200934541596652e+00 -1.104639366898345007e-02
3.066228860879191220e+00 1.142596876258068272e+00 2.466858315181601480e+00 8.179963733473481768e-02 9.017624953676424582e+00 -7.919105146015905164e-03
3.078821626553855939e+00 1.146233901116224585e+00 2.444376717192190629e+00 7.922116412879902370e-02 8.886991201087345971e+00 -4.510354334101185358e-03
3.091389716159610224e+00 1.152601498240070743e+00 2.415742725669206781e+00 7.789156743788987203e-02 8.765842649962014121e+00 3.198284994080446888e-03
3.103939929151266597e+00 1.155739551512105612e+00 2.392205713358306340e+00 7.701764274397475407e-02 8.672506066483952836e+00 -7.655153895719955283e-03
3.116491442190084893e+00 1.157511636682234002e+00 2.369571594348229393e+00 7.318128784667750353e-02 8.550077147132633115e+00 -3.539036119993512700e-03
3.129069689033189050e+00 1.154804758539669685e+00 2.353203867058947019e+00 6.956395830714851014e-02 8.442549447617972547e+00 -1.035719494884502524e-02
3.141633961597273039e+00 1.162304574443398852e+00 2.325030695614256349e+00 7.530678780278052264e-02 8.312598653090471856e+00 -6.852000751213799083e-03
3.154186184423857231e+00 1.167376510408900225e+00 2.297725098629922247e+00 7.169568238195368759e-02 8.198615137323685076e+00 3.133780142723531850e-03
3.166762677346359744e+00 1.171098810068821550e+00 2.274576337968973849e+00 7.142344309363343746e-02 8.097304673916578821e+00 -2.636473100173805303e-03
3.179342561278266643e+00 1.174704054352876170e+00 2.258582392709220787e+00 7.006722444661983573e-02 8.006560558138147599e+00 -6.633647283194734484e-03
3.191905660966189107e+00 1.180447316410351277e+00 2.227822864554382054e+00 6.936326508554134518e-02 7.897308998826508386e+00 5.915373992495830992e-03
3.204434626833930544e+00 1.186288351703468358e+00 2.211250457921613677e+00 6.767633900582452344e-02 7.788515817657457596e+00 9.037306459929400279e-03
